,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_disp,V_disp_nt,V_grad_abs,V_grad_PA,j,M_vir,virial,m_lin,m_lin_vir,virial_lin,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,count_c2d,count_SCUBA2,Tkin,Tdust
0,0,246.776482934,-24.5269276046,361919.383247,0.256668043515,0.125295487514,0.179330275307,139.415118923,0.24248649685,3.60821735682,0.381713189415,0.450904762924,0.427219594118,0.373992765269,0.228093128135,111.88637235,0.00293413048094,30.4322504876,8.4085716036e-05,598800.727058,84.8497289027,0.000141699442016,False,False,True,0,5.00811787414e-12,16,50,11.9508829603,20.0555898872
1,1,246.867686035,-24.69781894,17163.2646992,0.10311689106,0.0394543515392,0.06378408947,119.260956161,0.056460214016,3.69509420591,0.378249563513,0.412732879766,0.41854181782,0.371462518527,0.582439062717,2.80645885573,0.000947840379056,10.388867356,0.000605296692563,70682.5754892,81.4377648278,0.00115216182014,False,False,True,1,1.72441934595e-11,3,6,10.4227237273,18.6895780122
2,2,246.868820857,-24.698430308,16694.8372297,0.102194812422,0.038668453211,0.0628626703422,118.822529518,0.0556354300131,3.70223019304,0.375212517032,0.404086977526,0.416052710529,0.368324146069,0.761844789808,4.52974841404,0.00120423749172,10.1173707623,0.000606017933755,69373.8208202,80.4720091213,0.00115997660457,False,False,True,1,1.75892068037e-11,3,6,10.4911936628,18.6438957465
3,3,246.873025861,-24.6998634306,13247.1858034,0.100325765154,0.0352273652758,0.0594492420106,118.783981712,0.0491871187178,3.73275832014,0.355189761057,0.388304178445,0.398469705258,0.34783616871,1.17547499893,8.35255697535,0.00166175131539,8.77637289263,0.000662508477113,56072.9523371,73.8140016239,0.0013163922809,False,False,True,1,2.08329562695e-11,1,6,10.5895348183,18.5047201091
4,4,246.875916409,-24.700888441,9822.16290905,0.0990082084907,0.0321856203418,0.0564503375473,118.398260417,0.0419515136015,3.75838843098,0.332778324183,0.381159886487,0.380243659796,0.324618878267,1.95239688318,7.17984157148,0.00248863487728,7.58872184143,0.000772612092845,42128.714436,67.2159119959,0.00159548927367,False,False,True,1,2.61155974832e-11,1,4,10.9873891928,18.3353418013
5,5,246.87440798,-24.7004356226,11845.3047692,0.0995398364251,0.0342031917966,0.0583487799071,118.585787451,0.0463753550716,3.74368499262,0.348319568013,0.385018940706,0.392955220916,0.340708718874,1.48328313604,6.74601321224,0.00201998250893,8.37714503305,0.000707212283374,50534.9211573,71.7850917053,0.00142050467402,False,False,True,1,2.28679932383e-11,1,5,10.7417775301,18.4377240591
6,6,246.876484874,-24.7010923578,9302.76832744,0.0985303892923,0.0316989676714,0.0558865961106,118.262093959,0.0407893179611,3.76311514785,0.329406070079,0.380040056602,0.377309379106,0.321158447664,2.11088758267,5.27001905943,0.00263718389026,7.39743213072,0.000795186107011,40094.4520786,66.1825253777,0.00165066541496,False,False,True,1,2.70858550721e-11,1,4,10.9906943825,18.3104687828
7,7,246.885591186,-24.7037195166,5847.29020607,0.083281948954,0.0281729099512,0.0484385677786,120.249800734,0.0324290073864,3.74971263582,0.304117413671,0.346075937219,0.358312574005,0.294614047707,2.08469856994,15.9755010418,0.00195652700608,5.78220546373,0.000988869247114,29815.7710464,59.6859664613,0.00200182535506,False,False,True,1,3.73224227463e-11,1,3,11.6550870582,18.1931574243
8,8,246.759486774,-24.4912174258,219687.847826,0.207908232227,0.113976983605,0.153937497628,121.750763926,0.185351459559,3.60168543749,0.381889027111,0.40553419082,0.429079406304,0.373863251841,0.376004998557,147.083421038,0.00356403905749,26.3510480638,0.000119947681789,448721.237293,85.5900884122,0.000190742227688,False,False,True,8,6.89816593102e-12,13,43,12.4243148615,20.4683563271
9,9,246.884040117,-24.7040860572,7189.82821482,0.0838102086388,0.0312649729764,0.051189099506,119.668803494,0.0363279863091,3.7350864752,0.316455494075,0.348864111014,0.367316126937,0.307623426946,2.12232001802,19.4844825343,0.00222446635366,6.42148704961,0.000893134975934,36430.3939958,62.7231882527,0.0017217268707,False,False,True,1,3.19033961847e-11,1,3,11.2903619235,18.2575956196
10,10,246.886226403,-24.7036644481,5177.82191591,0.0830474607964,0.0269385507872,0.0472988185943,120.421309643,0.0303670473791,3.75674497747,0.293105237803,0.343754257159,0.348493014265,0.283334388426,2.27336110052,15.3567155099,0.00203436559468,5.34092618225,0.00103150055544,26476.6495508,56.4594036488,0.00213242251594,False,False,True,1,4.00540491288e-11,1,3,11.5369798708,18.1504416562
11,11,246.890906253,-24.7046175679,3151.60076289,0.077478559444,0.0240564225319,0.0431724097445,122.722531335,0.0236188146282,3.80434689521,0.250725364051,0.318187280474,0.314943963435,0.238968046639,2.83011016395,329.379753937,0.00210996821422,3.98153920105,0.00126333869694,17273.9610347,46.1120797358,0.00266945604677,False,False,True,1,5.69292650928e-11,1,3,11.7933854149,18.0035809041
12,12,246.733508989,-24.6385179641,2.37688631742,0.00902210648647,0.00590372232039,0.00729821974464,118.102753569,0.000674823275092,3.83514394875,0.513858960944,0.402663246661,0.539599691713,0.509659905998,3.11741817622,357.616944063,6.64184789621e-05,1.97577938557,0.831246901079,111.877496082,135.360365589,1.20989806109,False,True,False,12,6.95282638165e-10,0,0,8.8034600708,21.0271227157
13,13,246.884871671,-24.7038923848,6435.99692888,0.0832696718547,0.0296858609111,0.0497185266957,119.671841948,0.034191045938,3.74452145841,0.309615193633,0.34632655691,0.3623783211,0.300403025645,2.13786078129,17.8905162042,0.00211385850247,6.07044874388,0.000943202554469,32822.4693129,61.0481559623,0.00185995012686,False,False,True,1,3.46679859e-11,1,3,11.5109361166,18.2391633449
14,14,246.890741168,-24.7035787886,2321.84236814,0.0775612411909,0.0199261714524,0.03931282984,122.58076322,0.0198323062513,3.81682376663,0.239034090234,0.315946807318,0.308463128384,0.226081052511,2.97904660891,329.115714686,0.00184164493349,3.47791491303,0.00149791172766,12712.4792604,44.2338407993,0.00347956050848,False,False,True,1,7.19602187666e-11,1,3,12.3406517821,17.9666121938
15,15,246.890649055,-24.7033168703,2128.10540154,0.0777147698176,0.0191691940969,0.0385970142216,122.447351633,0.0188950517026,3.82007429,0.232640116274,0.316122257743,0.304121730553,0.219180937253,2.99796639763,327.625799687,0.00178646360121,3.3191489689,0.00155967320345,11628.7181644,42.9974835598,0.00369752563884,False,False,True,1,7.62889374442e-11,1,3,12.456356298,17.951624577
