,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_RMS_refit,V_disp,V_disp_dendro,V_disp_refit,V_disp_nt,V_disp_nt_dendro,V_disp_nt_refit,V_grad_abs,V_grad_PA,j,M_vir,M_vir_dendro,M_vir_refit,virial,virial_dendro,virial_refit,m_lin,m_lin_vir,m_lin_vir_dendro,m_lin_vir_refit,virial_lin,virial_lin_dendro,virial_lin_refit,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,count_c2d,count_SCUBA2,Tkin,Tdust
0,0,246.776482934,-24.5269276046,361919.383247,0.256668043515,0.125295487514,0.179330275307,139.415118923,0.24248649685,3.60821735682,0.169826069243,0.450904762924,0.852028618949,0.267969761199,0.496268077101,0.876880645602,0.148428290426,0.443289035316,0.848022895394,1.01450478734,203.4089691,0.0130503248561,11.9730093665,41.0642999191,128.20728777,3.30819788072e-05,0.000113462560504,0.000354242667579,598800.727058,33.3825656209,114.493494891,357.461358799,5.57490398934e-05,0.000191204669128,0.000596962132219,False,False,True,0,5.00811787414e-12,16,50,13.9491917489,20.0555898872
1,1,246.867686035,-24.69781894,17163.2646992,0.10311689106,0.0394543515392,0.06378408947,119.260956161,0.056460214016,3.69509420591,0.14759342869,0.412732879766,0.846731532743,0.2532642178,0.461202096554,0.871385811432,0.122760906742,0.404518046658,0.842757799473,6.06741103479,3.71460701246,0.00987388645995,3.80397942548,12.6145869487,45.0309860769,0.000221634956527,0.00073497595998,0.00262368418048,70682.5754892,29.8191873325,98.885059374,352.995444875,0.000421874657595,0.00139900192784,0.00499409426485,False,False,True,1,1.72441934595e-11,3,6,13.7518192321,18.6895780122
2,2,246.873025861,-24.6998634306,13247.1858034,0.100325765154,0.0352273652758,0.0594492420106,118.783981712,0.0491871187178,3.73275832014,0.14616274769,0.388304178445,0.74056136931,0.252017196904,0.439237126984,0.768492199334,0.121174356091,0.379604808662,0.736037239191,5.37658754101,356.692720943,0.00760080089046,3.51062793044,10.6640588877,32.6440006051,0.00026500933727,0.000805005609944,0.00246422154031,56072.9523371,29.526263176,89.6904529563,274.553547708,0.000526568727798,0.00159953148921,0.00489636333143,False,False,True,2,2.08329562695e-11,1,6,13.6836995716,18.5047201091
3,3,246.885591186,-24.7037195166,5847.29020607,0.083281948954,0.0281729099512,0.0484385677786,120.249800734,0.0324290073864,3.74971263582,0.142651437429,0.346075937219,0.692608060853,0.249264883369,0.401935447308,0.722142281991,0.117162487125,0.336372070944,0.687810687433,4.64806688276,347.359542538,0.00436229415289,2.7982829109,7.27582157093,23.4863198008,0.000478560634462,0.00124430656159,0.00401661606884,29815.7710464,28.8848642645,75.1035993073,242.434085873,0.000968778040974,0.0025189219219,0.0081310688057,False,False,True,5,3.73224227463e-11,1,3,13.5650176194,18.1931574243
4,4,246.759486774,-24.4912174258,219687.847826,0.207908232227,0.113976983605,0.153937497628,121.750763926,0.185351459559,3.60168543749,0.178254335666,0.40553419082,0.876659761404,0.273661352912,0.455602796104,0.9009152375,0.157927362504,0.397019424673,0.87275356253,1.0232493775,174.312833807,0.00969907517446,10.7188820109,29.7094979281,116.169044104,4.8791419812e-05,0.000135235053837,0.000528791397674,448721.237293,34.8156952531,96.4985737262,377.325362221,7.75886950728e-05,0.000215052388223,0.000840890358783,False,False,True,4,6.89816593102e-12,13,43,13.9975738977,20.4683563271
5,5,246.884040117,-24.7040860572,7189.82821482,0.0838102086388,0.0312649729764,0.051189099506,119.668803494,0.0363279863091,3.7350864752,0.14374354866,0.348864111014,0.716538440403,0.250163805382,0.404506971132,0.745216115175,0.118398654012,0.339208197784,0.711887189143,5.06951793241,352.45342494,0.00531351161662,2.97854775453,7.78767177759,26.4313955505,0.000414272450681,0.00108315129999,0.00367622073306,36430.3939958,29.0935744453,76.0676770322,258.174062501,0.000798607186312,0.00208802784403,0.00708677656713,False,False,True,5,3.19033961847e-11,1,3,13.6092259058,18.2575956196
6,6,246.890906253,-24.7046175679,3151.60076289,0.077478559444,0.0240564225319,0.0431724097445,122.722531335,0.0236188146282,3.80434689521,0.139262155752,0.318187280474,0.576530288853,0.246269898709,0.377489152746,0.611262700441,0.113381429164,0.307741037092,0.570831476374,3.88949169916,333.210395477,0.00289978247463,2.43448488421,5.71996500769,14.9982369415,0.000772459796583,0.00181493959357,0.00475892667564,17273.9610347,28.1949154404,66.2456073398,173.701642209,0.00163222062292,0.00383499807639,0.0100556926034,False,False,True,5,5.69292650928e-11,1,3,13.3933965789,18.0035809041
7,7,246.733508989,-24.6385179641,2.37688631742,0.00902210648647,0.00590372232039,0.00729821974464,118.102753569,0.000674823275092,3.83514394875,0.464523862693,0.402663246661,0.740919627041,0.524297801155,0.470365236275,0.779786931809,0.454328726189,0.390857854777,0.734570667917,4.80755447254,345.20748308,0.000102427854572,1.86531050807,1.50129312919,4.12616859795,0.784770602785,0.631621764234,1.73595538319,111.877496082,127.792158453,102.853379435,282.683225658,1.14225079152,0.919339304476,2.52672106149,False,True,False,7,6.95282638165e-10,0,0,19.1886701217,21.0271227157
8,8,246.760235871,-24.4905703809,213138.88213,0.205742705255,0.113607809509,0.152885506397,121.309900145,0.182089813729,3.60566458272,0.178046100907,0.393156766669,0.882840326342,0.273495556148,0.444602798419,0.9069214117,0.157700591056,0.384371312078,0.878963084656,1.0161807007,173.787777965,0.00950087416383,10.632735071,28.0988682813,116.91864011,4.9886416616e-05,0.000131833610088,0.000548556128951,439926.895239,34.7735221001,91.8951342852,382.373198301,7.90438649612e-05,0.000208887283955,0.000869174407017,False,False,True,8,7.0704870866e-12,13,43,13.9922098047,20.4444087002
9,9,246.854636469,-24.6818619341,138.28694947,0.0197231286567,0.0126462591213,0.015793156609,111.5415742,0.00382399855885,4.14026415459,0.127627989696,0.203878507594,0.360974578835,0.23575518232,0.284355495983,0.411818223009,0.100306902998,0.187986746591,0.352243122858,6.99993743175,5.4027555436,0.000698380385488,0.816149214,1.18732694535,2.49033740142,0.0059018527571,0.00858596526931,0.0180084773796,2977.4718536,25.8386981845,37.5899186827,78.8422942634,0.00867806631095,0.0126247771704,0.0264796102667,False,True,False,5,4.23560461208e-10,0,3,12.7560076458,18.8963376071
