,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_RMS_refit,V_disp,V_disp_dendro,V_disp_refit,V_disp_nt,V_disp_nt_dendro,V_disp_nt_refit,V_grad_abs,V_grad_PA,j,M_vir,M_vir_dendro,M_vir_refit,virial,virial_dendro,virial_refit,m_lin,m_lin_vir,m_lin_vir_dendro,m_lin_vir_refit,virial_lin,virial_lin_dendro,virial_lin_refit,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,count_c2d,count_SCUBA2,Tkin,Tdust
0,0,246.776482934,-24.5269276046,378706.598276,0.259489746611,0.125200074706,0.180244655014,139.415118923,0.244965609796,3.60821735682,0.169826069243,0.488437987033,0.737580359612,0.267969761199,0.530602079057,0.766153826596,0.148428290426,0.481416379843,0.73294941878,1.01450478734,203.4089691,0.013183747664,12.0340580477,47.1822251022,98.3722202835,3.17767319145e-05,0.00012458780839,0.000259758400649,619762.002216,33.3825656209,130.883839797,272.885263299,5.38635242263e-05,0.000211184034079,0.000440306540774,True,False,False,0,4.78611922921e-12,16,50,13.9491917489,20.0555898872
1,1,246.867686035,-24.69781894,19464.0692694,0.109223162046,0.0477526572349,0.0722197772032,119.260956161,0.072381918182,3.69509420591,0.14759342869,0.474111077541,1.08331185286,0.2532642178,0.516856128601,1.1026892193,0.122760906742,0.466977230579,1.08020877175,6.06741103479,3.71460701246,0.012658309118,4.30707013106,17.9379832199,81.647056072,0.000221283127975,0.000921594707231,0.00419475778378,75676.5233821,29.8191873325,124.190242026,565.267986374,0.000394034847266,0.0016410669581,0.00746952900465,True,False,False,1,1.5205795498e-11,3,6,13.7518192321,18.6895780122
2,2,246.873025861,-24.6998634306,27622.8602856,0.109426897001,0.0556791858996,0.0780563933355,118.783981712,0.0847960653347,3.73275832014,0.14616274769,0.43635828581,0.88649757247,0.252017196904,0.48224233775,0.909959924788,0.121174356091,0.428635310441,0.882721712522,5.37658754101,356.692720943,0.0131033901905,4.60942722439,16.8778561447,60.0940039642,0.000166870019134,0.000611010444616,0.00217551706604,107198.038461,29.526263176,108.113220605,384.93966603,0.000275436599399,0.00100853730308,0.0035909208,True,False,False,2,9.99092924057e-12,1,6,13.6836995716,18.5047201091
3,3,246.885591186,-24.7037195166,14926.5713238,0.0924077310567,0.046550257881,0.065586612284,120.249800734,0.0594540531026,3.74971263582,0.142651437429,0.395352405977,0.763548056471,0.249264883369,0.445069741043,0.790436072064,0.117162487125,0.38688647004,0.759199084779,4.64806688276,347.359542538,0.00799765670053,3.78892078678,12.0795141102,38.1001627059,0.000253837314985,0.000809262478846,0.00255250598944,68595.2478429,28.8848642645,92.0882607711,290.456858337,0.000421091331729,0.00134248747059,0.00423435831884,True,False,False,5,1.46205737578e-11,1,3,13.5650176194,18.1931574243
4,4,246.759486774,-24.4912174258,236769.85877,0.218787723095,0.114388380587,0.158198525079,121.750763926,0.195754622233,3.60168543749,0.178254335666,0.470446999115,0.827831246931,0.273661352912,0.514233708415,0.853475542292,0.157927362504,0.463127220772,0.823693521305,1.0232493775,174.312833807,0.0102434520953,11.0155832773,38.8957044833,107.142732755,4.65244323517e-05,0.00016427641882,0.000452518463758,459563.726566,34.8156952531,122.933208334,338.633791628,7.57581446064e-05,0.000267499807376,0.000736859269024,True,False,False,4,6.40049048136e-12,13,43,13.9975738977,20.4683563271
5,5,246.884040117,-24.7040860572,4966.96110931,0.0919255680589,0.057616178227,0.0727763691929,119.668803494,0.0734289157606,3.7350864752,0.14374354866,0.40137799213,1.10895386931,0.250163805382,0.450581861939,1.127696061,0.118398654012,0.393014409478,1.10595421141,5.06951793241,352.45342494,0.0107400777343,4.23464942994,13.7377599733,86.0503498538,0.000852563436022,0.00276582797227,0.0173245467319,22945.4570714,29.0935744453,94.3833838214,591.197052066,0.00126794486398,0.00411337998314,0.0257653203519,True,False,False,5,4.61811423502e-11,1,3,13.6092259058,18.2575956196
6,6,246.890906253,-24.7046175679,6367.93871594,0.0791522107387,0.0379064882067,0.0547757459365,122.722531335,0.0380208759427,3.80434689521,0.139262155752,0.330715640521,0.619275951941,0.246269898709,0.388107910085,0.651734316756,0.113381429164,0.320677774939,0.613974026411,3.88949169916,333.210395477,0.00466798488682,3.08879504974,7.67134328762,21.6325445814,0.000485054141932,0.00120468233597,0.00339710313594,34164.7385706,28.1949154404,70.0250006318,197.464627926,0.000825263608624,0.00204962787838,0.00577977868959,True,False,False,5,2.81752578504e-11,1,3,13.3933965789,18.0035809041
7,7,246.733508989,-24.6385179641,2.75058979702,0.00990647870678,0.00699923544866,0.00832693082329,118.102753569,0.000878468302583,3.83514394875,0.464523862693,0.504849009415,0.668346918221,0.524297801155,0.560337654983,0.711191513153,0.454328726189,0.49548430322,0.661301576836,4.80755447254,345.20748308,0.00013333805585,2.1282329264,2.43087541773,3.91594168844,0.773736937696,0.883765154793,1.42367345821,117.909498794,127.792158453,145.964669896,235.137157468,1.08381563624,1.23793817622,1.99421725877,True,False,False,7,6.00819428323e-10,0,0,19.1886701217,21.0271227157
8,8,246.760235871,-24.4905703809,238656.899078,0.224328249671,0.112327245594,0.158739328443,121.309900145,0.196300812329,3.60566458272,0.178046100907,0.458904538975,0.815058001155,0.273495556148,0.503679244238,0.841082011716,0.157700591056,0.451400529755,0.810856712137,1.0161807007,173.787777965,0.010242359405,11.0398510915,37.4430119592,104.409341523,4.6258252471e-05,0.000156890549168,0.000437487212504,451785.514026,34.7735221001,117.93867445,328.870427218,7.69690948925e-05,0.000261050146117,0.000727934865126,True,False,False,8,6.31448627536e-12,13,43,13.9922098047,20.4444087002
9,9,246.854636469,-24.6818619341,167.814067961,0.0209266997303,0.0135066686772,0.0168121979457,111.5415742,0.00433340046339,4.14026415459,0.127627989696,0.211015649426,0.414508153654,0.23575518232,0.289515468567,0.459465571814,0.100306902998,0.195704305874,0.4069269965,6.99993743175,5.4027555436,0.000791412925375,0.868810617074,1.31022586531,3.2999592198,0.00517722159788,0.00780760445912,0.0196643777241,3405.4138529,25.8386981845,38.9665250654,98.1418143678,0.00758753540704,0.0114425226268,0.0288193501898,True,False,False,5,3.49034409382e-10,0,3,12.7560076458,18.8963376071
10,10,246.772315896,-24.6547566182,41.2114913059,0.0148557124902,0.00836617696106,0.0111483415616,94.4333646984,0.00202890212889,4.38173858325,0.140304455744,0.229284301162,0.187926801037,0.243106841147,0.303293400308,0.273371685547,0.115923506049,0.215230596599,0.170497511715,7.744965371,249.119821257,0.000385034818091,0.612608128812,0.953485987357,0.774632039368,0.0148649832704,0.0231364106744,0.0187965058973,1178.05921499,27.4753031841,42.7635797703,34.7420302421,0.0233225145515,0.0363000256916,0.0294909031736,True,False,False,10,3.39322026207e-10,0,1,12.7962621573,18.5946949779
11,11,246.729396764,-24.6144784559,25.7890611876,0.0149709430266,0.00867272827299,0.0113946882739,61.5392495964,0.00205384181544,4.41881291428,0.183427394501,0.243079988977,0.445124814421,0.276818801605,0.319485400151,0.491038837855,0.16380816362,0.228638112432,0.43740553932,6.45173788248,297.915233563,0.000335074673733,0.811842430171,1.08139065019,2.55453738987,0.0314801079521,0.041932144886,0.0990550749905,731.524120985,35.6237226792,47.4515240872,112.093342462,0.0486979467351,0.0648666567869,0.153232599236,True,False,False,11,2.91878026042e-10,0,0,13.9544318375,20.2124715459
