,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_disp,V_disp_nt,V_grad_abs,V_grad_PA,j,M_vir,virial,m_lin,m_lin_vir,virial_lin,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3
0,0,52.2394260231,31.2643171498,468455.028943,0.232269857144,0.224093321546,0.228144962211,134.976779407,0.65877352726,7.84548398784,0.533741610226,0.554766844351,0.530332745922,0.853205936249,19.5185982996,0.0177637898375,65.2844886859,0.000139361271952,856480.202441,143.076770254,0.000167052046091,False,False,True,0,1.70927647802e-11
1,1,52.2394484087,31.2643241054,430472.882295,0.230779347897,0.222795262365,0.226752167273,126.419808462,0.622264480924,7.84284546836,0.527850375213,0.549862472319,0.524276780527,0.966818314094,13.9063593675,0.0198841830818,63.7437686425,0.000148078476634,792120.280037,140.558234589,0.000177445569987,False,False,True,1,1.84845620412e-11
2,2,52.2641290721,31.2649288802,225919.871481,0.219984018613,0.14085528296,0.176028154533,167.229183371,0.411621600841,7.84754603023,0.536065000796,0.56168921069,0.531890433095,0.864753900595,9.86494137688,0.0107180750255,51.6359804765,0.000228558825472,436119.571723,146.669663763,0.000336306080426,False,False,True,2,2.95489663363e-11
3,3,52.264051003,31.2646595605,243850.253862,0.221363388019,0.142217941358,0.17743124115,167.607474954,0.434708203671,7.84800748193,0.537241826583,0.561951731682,0.533220373937,0.877229193752,8.22389576536,0.0110467175208,52.0962240656,0.000213640228954,467799.43708,146.806796052,0.000313824225545,False,False,True,3,2.75445870275e-11
4,4,52.2394875987,31.2643555109,391790.77699,0.229643171029,0.221591104586,0.2255812136,118.538149028,0.584144741368,7.83986159051,0.523800242988,0.546904143901,0.520044220822,1.08142120338,10.8159023551,0.022012062102,62.7340730703,0.000160121362612,724507.605772,139.04986162,0.000191923260035,False,False,True,4,2.01586348538e-11
5,5,52.2644896376,31.2656635153,197526.534406,0.216903690393,0.138252394555,0.173168861475,165.531347,0.375112554506,7.84697215937,0.534048343034,0.56113291762,0.529628494731,1.00038131916,13.8235527305,0.0119995557502,50.6966687415,0.000256657511326,386723.691751,146.379286408,0.000378511297679,False,False,True,5,3.34764461701e-11
6,6,52.2641649677,31.2648663779,229065.855532,0.220289778352,0.141174427458,0.176349888953,167.134711803,0.415916782763,7.84757278071,0.536150397702,0.561521975561,0.532018120186,0.866839095041,7.60622579311,0.0107832298485,51.6995584353,0.000225697358147,441578.874563,146.582339071,0.000331950524618,False,False,True,6,2.91443876424e-11
7,7,52.2394945062,31.2643525078,388048.812801,0.229557213564,0.221489299135,0.225487175564,117.875115183,0.580386457186,7.83961433471,0.523503137056,0.546755414147,0.519722325243,1.09210309371,10.1870677596,0.0222109595968,62.6738191077,0.000161510142642,717856.58828,138.974243105,0.000193596110106,False,False,True,7,2.03394811799e-11
8,8,52.2394592504,31.2643504602,402244.58328,0.230017454367,0.22197173833,0.225958788703,121.075452457,0.594703730259,7.84065388087,0.52494245701,0.547670540729,0.521249250044,1.0783382249,10.6240527755,0.0220228473018,63.0153174056,0.000156659206923,742628.629134,139.439846016,0.000187765244358,False,False,True,8,1.96773776653e-11
9,9,52.2641223825,31.2648066935,232263.914174,0.22060761232,0.141477215921,0.176666212961,167.319277292,0.420032998772,7.84758257623,0.536399346782,0.561695750747,0.532279695159,0.844094386687,6.50929566512,0.0105379953501,51.8243549247,0.000223127019576,447098.818698,146.673079295,0.000328055170715,False,False,True,9,2.8770053297e-11
