,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_RMS_refit,V_disp,V_disp_dendro,V_disp_refit,V_disp_nt,V_disp_nt_dendro,V_disp_nt_refit,V_grad_abs,V_grad_PA,j,M_vir,M_vir_dendro,M_vir_refit,virial,virial_dendro,virial_refit,m_lin,m_lin_vir,m_lin_vir_dendro,m_lin_vir_refit,virial_lin,virial_lin_dendro,virial_lin_refit,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,Tkin,Tdust
0,0,52.2394260231,31.2643171498,468455.028943,0.232269857144,0.224093321546,0.228144962211,134.976779407,0.65877352726,7.84548398784,,0.533741610226,,,0.571205227755,,,0.527559717989,,1.31772151514,11.7498681427,0.0274350271894,,69.2107186771,,,0.000147742503338,,856480.202441,,151.681452894,,,0.000177098609473,,False,False,True,0,1.70927647802e-11,13.4389743942,15.243721175
1,1,52.264051003,31.2646595605,243850.253862,0.221363388019,0.142217941358,0.17743124115,167.607474954,0.434708203671,7.84800748193,,0.537241826583,,,0.575618367593,,,0.530904813539,,1.22046970376,18.9548809735,0.0153690553805,,54.6609916256,,,0.000224158026329,,467799.43708,,154.034293147,,,0.000329274216551,,False,False,True,1,2.75445870275e-11,13.865050904,15.3781050466
2,2,52.2644896376,31.2656635153,197526.534406,0.216903690393,0.138252394555,0.173168861475,165.531347,0.375112554506,7.84697215937,,0.534048343034,,,0.572632978391,,,0.527674005379,,1.23754641595,18.8743191606,0.0148443467778,,52.7959539934,,,0.000267285375872,,386723.691751,,152.440668442,,,0.000394184974167,,False,False,True,2,3.34764461701e-11,13.8628336645,15.3035611949
3,3,52.2649370757,31.2662837827,117024.783202,0.210373760643,0.129605707699,0.165123105983,162.835624055,0.264153688192,7.8404220115,0.259221075422,0.516599608644,1.10333776981,0.331460531954,0.556368289851,1.12250824165,0.245830436927,0.510011954201,1.1002687272,1.27472717822,19.5173236362,0.0139025010019,16.8674574685,47.5237515371,193.448360973,0.000144135771987,0.000406099889585,0.0016530546409,236226.46485,51.0754002842,143.904001969,585.770113218,0.000216213709656,0.000609178154789,0.00247969724134,False,False,True,3,3.35428358991e-11,13.8529717981,15.2040787843
4,4,52.2650409667,31.2665134798,124792.057247,0.211147119143,0.130610286423,0.16606620881,163.307470137,0.274891642997,7.84153166524,0.259397220944,0.518103032264,1.1043248248,0.331617322364,0.55777583517,1.12348406706,0.246012107645,0.511532785768,1.10125762542,1.27246890515,19.4929014197,0.0140368517124,16.9798487047,48.0373221966,194.891651221,0.000136065139716,0.000384938939676,0.00156173121528,250982.857717,51.1237319933,144.633042871,586.789006074,0.000203694118627,0.000576266619109,0.00233796447858,False,False,True,4,3.17806557818e-11,13.8570662669,15.2412233268
5,5,52.2773337518,31.2752072573,55601.5088881,0.224507358324,0.0731836815655,0.128180634343,157.605067334,0.165006572163,7.90204830941,0.296299056447,0.505846469034,1.1376442122,0.362104704403,0.546998479279,1.15652974006,0.284475255295,0.499012715527,1.13462213692,2.05765356396,48.0798714085,0.0135231255813,15.6267577386,35.6592974826,159.409483733,0.000281049166671,0.000641336866492,0.00286699924015,105171.549788,60.956000954,139.097835119,621.815785785,0.000579586409791,0.00132258044498,0.00591239538674,False,False,True,5,5.17626669055e-11,14.06599649,15.1338688932
6,6,52.2794245536,31.2728700216,48986.4310609,0.214540090694,0.0702071802109,0.122728378177,159.873050712,0.150689299091,7.8902195022,0.313156677346,0.507035193457,1.14396282667,0.376127903656,0.548169483597,1.16277944777,0.301973040691,0.500205258011,1.14095204174,2.66740386755,57.9043024329,0.0160708466935,16.1433711117,34.2888431881,154.282908576,0.000329547810731,0.000699966142572,0.00314950293857,96963.7974976,65.7686973117,139.694028788,628.554336286,0.000678280956491,0.00144068232055,0.0064823609688,False,False,True,6,5.67143968054e-11,14.0914520286,15.1746596319
7,7,52.1479806455,31.263242964,14624.8783125,0.246443527045,0.0436568785695,0.10372538327,13.5378857219,0.139951344286,7.80690636707,,0.465451511712,,,0.503151085687,,,0.459192343439,,1.920884584,339.671101086,0.00826668442309,,24.4151841961,,,0.0016694281945,,25200.9621156,,117.691462911,,,0.00467011784595,,False,False,True,7,8.03721858971e-11,11.854878405,14.3095230074
8,8,52.2650038584,31.266326192,131030.976005,0.211967193782,0.130812702114,0.16651727051,163.624961209,0.284376836407,7.84072200185,0.259371710162,0.519009449677,1.10578045337,0.331602216599,0.558620761228,1.12491633337,0.245984172728,0.512450327402,1.10271707172,1.27205409187,19.4681628583,0.0141086070449,17.0244175279,48.3138399889,195.919587301,0.000129926663503,0.000368720751855,0.00149521581289,262511.057605,51.1190745435,145.071558767,588.286087988,0.0001947311287,0.000552630278094,0.00224099545884,False,False,True,8,3.03848818371e-11,13.8581102631,15.2353648408
9,9,52.1840565234,31.3995493999,30.0376211174,0.0415159658689,0.0237494244939,0.0314003231941,19.8324789844,0.00841139793024,8.42308038991,,0.231818760127,,,0.327720514957,,,0.212685441544,,2.38540040107,242.939684064,0.000940783118074,,3.13559168385,,,0.104388815332,,307.250546987,,49.9292899705,,,0.162503502305,,False,False,True,9,3.26804037838e-10,17.4209631423,15.3764709363
