,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_RMS_refit,V_disp,V_disp_dendro,V_disp_refit,V_disp_nt,V_disp_nt_dendro,V_disp_nt_refit,V_grad_abs,V_grad_PA,j,M_vir,M_vir_dendro,M_vir_refit,virial,virial_dendro,virial_refit,m_lin,m_lin_vir,m_lin_vir_dendro,m_lin_vir_refit,virial_lin,virial_lin_dendro,virial_lin_refit,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,Tkin,Tdust
0,0,52.239368541,31.2644289925,394251.785947,0.228256606554,0.219796511436,0.223986619763,109.666856086,0.65877352726,7.83677567517,,0.517556616084,,,0.556111640393,,,0.511179029705,,1.31586001391,11.2486245011,0.0264066818292,,64.4056808702,,,0.000163361798642,,733487.283593,,143.771268432,,,0.000196010580753,,False,False,True,0,2.03098423527e-11,13.4389743942,15.243721175
1,1,52.2645218633,31.2654714823,191963.795262,0.213184245217,0.135505666903,0.169963741196,165.528731308,0.434708203671,7.84409329618,,0.520788451092,,,0.560293080157,,,0.514248725423,,1.2187801379,18.4251335124,0.0140830889897,,49.6095089471,,,0.0002584315906,,382389.974494,,145.941447858,,,0.000381656051656,,False,False,True,1,3.4989694437e-11,13.865050904,15.3781050466
2,2,52.2646955749,31.2658086246,150304.688985,0.210013149942,0.132912013566,0.167072650766,164.596691112,0.375112554506,7.84266872847,,0.514944162439,,,0.554858888074,,,0.508330319463,,1.23666403848,18.5489191508,0.0138077351958,,47.8242960543,,,0.000318182329355,,303926.323366,,143.124251141,,,0.000470917588041,,False,False,True,2,4.39938796377e-11,13.8628336645,15.3035611949
3,3,52.2649493914,31.2658492982,77688.6194774,0.201737372423,0.127694917844,0.160501829266,163.455020633,0.264153688192,7.83828671753,0.259221075422,0.494595405364,1.10333776981,0.331460531954,0.535999191518,1.12250824165,0.245830436927,0.487710624022,1.1002687272,1.27586791688,19.5254156637,0.013146970277,16.3953903522,42.8732478207,188.034349401,0.000211039795307,0.000551860080784,0.00242035900066,163535.980874,51.0754002842,133.559997468,585.770113218,0.000312319038361,0.000816700989924,0.00358190356695,False,False,True,3,5.05266167102e-11,13.8529717981,15.2040787843
4,4,52.2649826934,31.2659540308,83973.5866248,0.202634768519,0.128041437434,0.161076525401,163.536140256,0.274891642997,7.8388074922,0.259397220944,0.496600335243,1.1043248248,0.331617322364,0.537861527925,1.12348406706,0.246012107645,0.489741699101,1.10125762542,1.2741128818,19.5234194325,0.0132230732457,16.46966623,43.3262741974,189.035868484,0.000196129126931,0.000515951216791,0.00225113486373,175983.120493,51.1237319933,134.489721856,586.789006074,0.000290503611085,0.00076421944036,0.00333434822857,False,False,True,4,4.72288200977e-11,13.8570662669,15.2412233268
5,5,52.2776625721,31.2740502172,34464.4727259,0.213691055845,0.0708113298237,0.123011169557,158.365935376,0.165006572163,7.89775261467,0.296299056447,0.480800828625,1.1376442122,0.362104704403,0.523923775855,1.15652974006,0.284475255295,0.473605824321,1.13462213692,2.06462774333,48.0480660184,0.0124965705548,14.9965379378,31.3948845923,152.980574117,0.000435130345879,0.000910934713611,0.00443879049982,68490.0636242,60.956000954,127.609893904,621.815785785,0.000889997727092,0.00186318842692,0.00907891966923,False,False,True,5,8.350867303e-11,14.06599649,15.1338688932
6,6,52.2795454981,31.2719840415,30160.8422112,0.203686731084,0.0675241842145,0.117276512362,160.826254135,0.150689299091,7.88794410955,0.313156677346,0.481307039672,1.14396282667,0.376127903656,0.524463117655,1.16277944777,0.301973040691,0.474106611613,1.14095204174,2.66893426691,57.8943637175,0.0146831742721,15.4262468866,29.992942527,147.429320779,0.000511466051862,0.000994433189795,0.00488810357969,62881.5158177,65.7686973117,127.872759528,628.554336286,0.00104591462939,0.00203355084344,0.00999585216915,False,False,True,6,9.21140023152e-11,14.0914520286,15.1746596319
7,7,52.1481478005,31.2611574894,11873.3793209,0.243922878726,0.0404689601502,0.0993544425725,13.9919430126,0.139951344286,7.78488263283,,0.448991417376,,,0.487964341064,,,0.442499481802,,1.89779525952,340.380729045,0.00749348653026,,21.9958926863,,,0.00185253853109,,20671.1234982,,110.694057139,,,0.00535500923058,,False,False,True,7,9.89973794895e-11,11.854878405,14.3095230074
8,8,52.264964763,31.2659162208,88401.769031,0.203097962666,0.128148629441,0.161328006117,163.609406287,0.284376836407,7.83867719444,0.259371710162,0.497283600508,1.10578045337,0.331602216599,0.538495427423,1.12491633337,0.245984172728,0.490434000182,1.10271707172,1.27323477752,19.486839513,0.0132552528501,16.4938767413,43.4962618678,189.814043203,0.000186578582331,0.000492029315076,0.00214717471476,184840.725718,51.1190745435,134.806915782,588.286087988,0.000276557421774,0.000729313928291,0.00318266489001,False,False,True,8,4.50371159601e-11,13.8581102631,15.2353648408
9,9,52.1840830322,31.3996610576,9.88589741473,0.0429718350127,0.0224768838589,0.0310784965013,16.52916778,0.00841139793024,8.43264535874,,0.196363344421,,,0.303676409043,,,0.173360094977,,2.50280910815,248.211813639,0.000966958241408,,2.66477312479,,,0.269552981687,,97.6954810898,,42.871654436,,,0.438829452066,,False,False,True,9,9.92971650059e-10,17.4209631423,15.3764709363
10,10,52.1804337845,31.3900479344,1.38285807535,0.023701410888,0.0112575944759,0.0163346524996,100.614549865,0.00322138644137,8.52531904717,,0.185857481469,,,0.271921165239,,,0.168222152819,,2.95870572998,254.45934872,0.000315777777482,,1.12298525422,,,0.812075565985,,24.776826908,,34.3743233668,,,1.38735777162,,False,True,False,9,3.61835964153e-10,12.7905875321,15.2023230995
11,11,52.2868810431,31.2544223947,6710.63407357,0.112241745777,0.0607586166361,0.0825811915768,169.188368246,0.0710494676235,7.8805235591,0.340620345765,0.494830411764,1.27809303848,0.397711624563,0.535732631795,1.29447832403,0.330668094784,0.488033098638,1.27547676732,3.08009784355,26.3388310452,0.00840207964879,12.1449531456,22.0371523602,128.661567704,0.00180980709311,0.00328391506952,0.0191727884867,25389.3405389,73.5334094464,133.427188077,779.000431256,0.00289623156355,0.00525524433659,0.03068218452,False,False,True,11,2.73544151107e-10,13.6847376847,14.8950688411
12,12,52.2959196472,31.3024955291,264.821889314,0.0538808356979,0.0197624141159,0.0326315091281,32.3986845313,0.0180755572543,8.54900586893,0.234814180657,0.158452911342,0.409881270862,0.311938218461,0.259374396986,0.458443463147,0.220123651278,0.13573521108,0.401645837296,1.08242223721,21.6135376688,0.000461031941788,2.95224545628,2.04112450463,6.37656596933,0.0111480416665,0.00770753697859,0.0240786967643,2087.18926567,45.2361158764,31.2753617465,97.7056553577,0.0216732217918,0.0149844397252,0.0468120725632,False,True,False,11,1.13078886548e-09,13.6897490866,15.3307804113
13,13,52.2851191605,31.2468109602,3530.29222083,0.0871197267871,0.0298070316504,0.0509586151079,136.683298646,0.049394592101,7.77138179468,0.373952693788,0.433719976105,1.26731193598,0.426586125585,0.479841768735,1.28382812262,0.364914392658,0.425951774795,1.26467444026,4.80363355718,33.6840507195,0.00498959269124,8.62202341155,10.9091733746,78.0925339241,0.0024422973715,0.00309016157649,0.0221206996586,17208.2389093,84.5982901349,107.039539354,766.234853113,0.00491615037312,0.00622024949319,0.0445272091554,False,False,True,11,4.22299498323e-10,13.6791501339,14.7360445578
14,14,52.2233763704,31.2381708847,3133.72418441,0.124716589536,0.0347889216192,0.065869231497,135.610009228,0.0665753197883,7.64098992959,0.192504442576,0.450653039768,0.907993138982,0.277763256689,0.493135507348,0.929809661594,0.175223524132,0.443546486008,0.904487072011,3.1184142605,295.361840163,0.00541201500669,4.72509251369,14.8933801054,52.9479114999,0.00150782016401,0.00475261357701,0.0168961620053,10670.3537829,35.8672205998,113.052632974,401.916876033,0.00336139000913,0.0105950219903,0.0376666869917,False,False,True,14,2.94670070418e-10,13.0166572566,15.302530252
15,15,52.1868842487,31.4070601221,3.04296553916,0.0230337722983,0.0159990913987,0.0191968598541,140.631169255,0.00483207966205,8.36364658066,,0.161730917254,,,0.29409926609,,,0.12881709107,,0.724938254189,264.850192814,0.000106861532382,,1.54381837036,,,0.507340076807,,56.1014699733,,40.2101797401,,,0.716740216597,,False,True,False,9,2.62483323315e-09,19.5885487893,15.5014163321
