,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_RMS_refit,V_disp,V_disp_dendro,V_disp_refit,V_disp_nt,V_disp_nt_dendro,V_disp_nt_refit,V_grad_abs,V_grad_PA,j,M_vir,M_vir_dendro,M_vir_refit,virial,virial_dendro,virial_refit,m_lin,m_lin_vir,m_lin_vir_dendro,m_lin_vir_refit,virial_lin,virial_lin_dendro,virial_lin_refit,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,Tkin,Tdust
0,0,52.2394260231,31.2643171498,508454.405429,0.236334536332,0.227763580983,0.232009483222,134.976779407,0.681280322863,7.84548398784,,0.54844978846,0.945230793444,,0.584972201211,0.966879805665,,0.542435544576,0.941753896957,1.31772151514,11.7498681427,0.0283723364828,,73.8166482848,201.664217027,,0.00014517850076,0.000396622027213,913623.15827,,159.08110147,434.603392556,,0.000174121135208,0.000475692180766,True,False,False,0,1.57481015689e-11,13.4389743942,15.243721175
1,1,52.264051003,31.2646595605,287279.332605,0.231089401318,0.15174436151,0.187260550183,167.607474954,0.484206087577,7.84800748193,,0.551275783365,1.08842478324,,0.588738239123,1.10787013393,,0.545101944716,1.08531085389,1.22046970376,18.9548809735,0.0171190470129,,60.3488380657,213.698824464,,0.000210070239019,0.000743871208994,527918.196512,,161.13601612,570.592215647,,0.000305229138121,0.0010808345297,True,False,False,1,2.33805699779e-11,13.865050904,15.3781050466
2,2,52.2644896376,31.2656635153,229135.071561,0.222553990336,0.14487384705,0.179561278555,165.531347,0.403317786121,7.84697215937,,0.552393813619,1.02668028,,0.589779467741,1.04726944603,,0.546233602573,1.02337902099,1.23754641595,18.8743191606,0.0159605137363,,58.0724456317,183.108153921,,0.000253441977415,0.000799127574285,437218.427748,,161.706482876,509.876503982,,0.000369852852975,0.00116618255687,True,False,False,2,2.88584647961e-11,13.8628336645,15.3035611949
3,3,52.2649370757,31.2662837827,155991.711355,0.219581598236,0.133907043226,0.1714745537,162.835624055,0.284865819946,7.8404220115,0.259221075422,0.547801766375,0.981700215934,0.331460531954,0.585454774978,1.00319780316,0.245830436927,0.541593771217,0.97824963672,1.27472717822,19.5173236362,0.0149925877405,17.5162629376,54.646772194,160.454150171,0.000112289702994,0.000350318434995,0.00102860689698,301680.929054,51.0754002842,159.343678158,467.865775734,0.000169302714773,0.000528186115899,0.00155086295047,True,False,False,3,2.51637927745e-11,13.8529717981,15.2040787843
4,4,52.2650409667,31.2665134798,148794.391539,0.219455926653,0.139163378496,0.174757626969,163.307470137,0.304418661743,7.84153166524,0.259397220944,0.545955069032,1.08209698423,0.331617322364,0.583738012863,1.10164287023,0.246012107645,0.539723981565,1.07896659918,1.27246890515,19.4929014197,0.0155445962881,17.8685241699,55.3669012917,197.195011157,0.000120088694104,0.000372103415452,0.00132528524172,287926.424275,51.1237319933,158.410543368,564.195722318,0.000177558319359,0.000550177163372,0.00195951352412,True,False,False,4,2.66540517733e-11,13.8570662669,15.2412233268
5,5,52.2773337518,31.2752072573,110331.278648,0.234723230901,0.0782195368536,0.135498864976,157.605067334,0.184385907013,7.90204830941,0.296299056447,0.54579112316,0.918427397651,0.362104704403,0.584135802892,0.94171947567,0.284475255295,0.539463613364,0.914681324167,2.05765356396,48.0798714085,0.0151113603735,16.5189378855,42.9874256418,111.726679081,0.000149721258449,0.000389621385419,0.00101264736936,199611.175787,60.956000954,158.626515615,412.279022044,0.000305373688189,0.000794677527394,0.00206541051832,True,False,False,5,2.60858246119e-11,14.06599649,15.1338688932
6,6,52.2794245536,31.2728700216,62773.7998367,0.228189057839,0.0744845294219,0.130370834899,159.873050712,0.170040869101,7.8902195022,0.313156677346,0.544103080195,0.900568351959,0.376127903656,0.58262617279,0.924352990958,0.301973040691,0.537744153492,0.896740748092,2.66740386755,57.9043024329,0.0181346701819,17.1486399575,41.147035914,103.57007172,0.000273181486578,0.000655481044975,0.00164989329927,116822.334062,65.7686973117,157.807672037,397.21334837,0.000562980510875,0.0013508347809,0.00340014905164,True,False,False,6,4.42578893822e-11,14.0914520286,15.1746596319
7,7,52.1479806455,31.263242964,16360.2917355,0.249131177176,0.0462115597754,0.107297438394,13.5378857219,0.14975650138,7.80690636707,,0.47934430166,0.678377459769,,0.516029906892,0.704777896359,,0.473268906703,0.674098269128,1.920884584,339.671101086,0.00884585813399,,26.5654530491,49.5532373388,,0.00162377624303,0.00302887247612,27887.2210767,,123.793510109,230.915285958,,0.00443907658525,0.00828032615094,True,False,False,7,7.18467284975e-11,11.854878405,14.3095230074
8,8,52.2650038584,31.266326192,435437.548846,0.220694251865,0.136222706931,0.173388489795,163.624961209,0.308330281516,7.84072200185,0.259371710162,0.564934669308,0.941391086461,0.331602216599,0.601529323148,0.963796411951,0.245984172728,0.558914760752,0.937790865209,1.27205409187,19.4681628583,0.0152969940763,17.7269182696,58.3326892319,149.750748857,4.07105871245e-05,0.00013396338783,0.000343908671297,837870.945377,51.1190745435,168.213845397,431.835899355,6.10106781068e-05,0.000200763430604,0.000515396675034,True,False,False,8,9.14335645484e-12,13.8581102631,15.2353648408
9,9,52.1840565234,31.3995493999,125.065117843,0.0365736367781,0.0236566081572,0.0294144215334,19.8324789844,0.00738109112102,8.42308038991,,0.355480379284,0.991612978869,,0.424296003319,1.01831090451,,0.343309568107,0.987315278602,2.38540040107,242.939684064,0.000825547189327,,4.92352698276,28.3595430777,,0.0393677075404,0.226758216573,1452.14614128,,83.6923985939,482.068686027,,0.0576335922499,0.331969815105,True,False,False,9,7.84904379215e-11,17.4209631423,15.3764709363
