,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_disp,V_disp_nt,V_grad_abs,V_grad_PA,j,M_vir,virial,m_lin,m_lin_vir,virial_lin,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3
0,0,83.9234546567,-5.04408487596,26.9389514515,0.0426655773481,0.020529181224,0.0295954281842,165.261371446,0.0108901923176,11.8972019462,0.516552838035,0.542684129663,0.512288864603,93.5997611012,2.23354252596,0.0327932142911,8.10395458686,0.300826652494,268.129955889,136.912271321,0.510619079719,False,True,False,0,3.44346851252e-09
1,1,83.8273981207,-5.19661865112,52982946.8348,1.05130430457,0.222513423255,0.483662402603,3.15872219332,1.96159589122,10.2857082839,1.40235396523,1.42397405166,1.39889666523,3.32470398036,78.8030246869,0.311098296121,911.852532022,1.72103023047e-05,21401782.3359,942.653932902,4.4045580789e-05,False,False,True,1,5.05470431285e-13
2,2,83.8276766715,-5.19634626747,50924282.3094,1.04647572538,0.221190742204,0.481114063809,3.15303937688,1.88854085108,10.2890250742,1.39712855808,1.4190515552,1.39362226402,3.2644301723,78.3781780789,0.302248030191,900.787868936,1.76887690525e-05,20665124.8952,936.147929042,4.53008599653e-05,False,False,True,2,5.20314702405e-13
3,3,83.828084109,-5.197383489,46697730.8779,1.03424137411,0.219445607559,0.476402903753,3.2453380189,1.73517064261,10.2856347335,1.38607986135,1.40796394004,1.3825795959,2.97962260673,74.908476661,0.270501733002,878.083047418,1.88035485003e-05,19174151.1466,921.576086648,4.8063462085e-05,False,False,True,3,5.38852044111e-13
4,4,83.8281220843,-5.19720187348,46102967.6178,1.03281545837,0.219183425349,0.475789901025,3.26098766871,1.71339025798,10.2862717478,1.38559399107,1.40738262995,1.38210911817,2.88406093959,74.2652848734,0.261152906218,876.229199259,1.90059175046e-05,18956075.424,920.815256241,4.85762604149e-05,False,False,True,4,5.44104402e-13
5,5,83.8404465995,-5.10678562065,839793.052407,0.693707325479,0.203229657853,0.375475568322,171.016077783,1.15390662766,11.1240727901,0.4784095892,0.534208925634,0.46895666818,1.43780867612,85.6126755337,0.0810820009825,99.6281559478,0.000118634175006,514088.954335,132.669292429,0.000258066802079,False,False,True,5,1.99549600361e-11
6,6,83.9208611319,-5.33121849673,0.424038076335,0.011021213383,0.00643045830038,0.00841851846105,110.111782301,0.00136127403971,10.5737988911,1.36602999448,1.36602999448,1.36602999448,76.7210794873,193.212384617,0.00217493375402,14.6060999445,34.4452556496,16.3387083558,867.498242838,53.0946647646,False,False,False,6,4.34584655573e-22
7,7,83.8439375117,-5.11179353611,741122.647466,0.671054410447,0.170262498992,0.338016864789,174.267918469,1.05498738077,11.1325801055,0.477541349039,0.535333529765,0.467726604706,0.807645532734,80.3295140473,0.0369111456452,90.0669360595,0.000121527707145,469001.925463,133.22846497,0.000284068055452,False,False,True,7,2.15272608092e-11
8,8,83.828034736,-5.19625482713,48079275.3344,1.04001638702,0.219392284874,0.477673080102,3.18567988273,1.78644529811,10.2935661567,1.38996091745,1.41180257976,1.38646758668,3.04200448801,77.1835711849,0.27763957776,885.231455479,1.84119134351e-05,19631794.8416,926.6080635,4.71993554832e-05,False,False,True,8,5.35828957075e-13
9,9,83.8789149783,-4.98588649156,3330.16594241,0.123419728437,0.0475272545632,0.0765885164471,139.216395562,0.0880290545676,11.7949034183,0.406870873922,0.465022862109,0.396872724064,7.21148299292,259.707046733,0.0169204492324,15.3989247009,0.00462407128269,11458.389065,100.530245363,0.00877350601319,False,False,True,9,2.69951252138e-10
