,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_RMS_refit,V_disp,V_disp_dendro,V_disp_refit,V_disp_nt,V_disp_nt_dendro,V_disp_nt_refit,V_grad_abs,V_grad_PA,j,M_vir,M_vir_dendro,M_vir_refit,virial,virial_dendro,virial_refit,m_lin,m_lin_vir,m_lin_vir_dendro,m_lin_vir_refit,virial_lin,virial_lin_dendro,virial_lin_refit,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,Tkin,Tdust
0,0,83.9234546567,-5.04408487596,26.9389514515,0.0426655773481,0.020529181224,0.0295954281842,165.261371446,0.0108901923176,11.8972019462,,0.516552838035,,,0.55907570444,,,0.509487557118,,1.96687655124,337.398145608,0.000689106504866,,8.60090192785,,,0.31927381967,,268.129955889,,145.307948821,,,0.541931051079,,False,True,False,0,3.44346851252e-09,14.8490914523,24.4785252378
1,1,83.8273981207,-5.19661865112,52982946.8348,1.05130430457,0.222513423255,0.483662402603,3.15872219332,1.96159589122,10.2857082839,,1.40235396523,,,1.42472755931,,,1.3987750615,,2.71050463784,75.1379527732,0.25362660238,,912.817815968,,,1.72285210714e-05,,21401782.3359,,943.651823105,,,4.40922072889e-05,,False,False,True,1,5.05470431285e-13,20.5347357681,34.2293855097
2,2,83.8276766715,-5.19634626747,50924282.3094,1.04647572538,0.221190742204,0.481114063809,3.15303937688,1.88854085108,10.2890250742,,1.39712855808,,,1.41958311571,,,1.39353645962,,2.71210944652,75.1385315671,0.251109594817,,901.462845033,,,1.77020235564e-05,,20665124.8952,,936.849401051,,,4.53348046917e-05,,False,False,True,2,5.20314702405e-13,20.5334502051,33.9203709701
3,3,83.828084109,-5.197383489,46697730.8779,1.03424137411,0.219445607559,0.476402903753,3.2453380189,1.73517064261,10.2856347335,,1.38607986135,,,1.4087041419,,,1.38246008886,,2.70894657482,75.071637085,0.245928709711,,879.006550539,,,1.88233246887e-05,,19174151.1466,,922.545332547,,,4.81140116969e-05,,False,False,True,3,5.38852044111e-13,20.5275944168,33.2480835669
4,4,83.8281220843,-5.19720187348,46102967.6178,1.03281545837,0.219183425349,0.475789901025,3.26098766871,1.71339025798,10.2862717478,,1.38559399107,,,1.40822428213,,,1.38197323592,,2.70868344679,75.0631331418,0.245272401995,,877.277529277,,,1.90286563882e-05,,18956075.424,,921.916929496,,,4.86343775742e-05,,False,False,True,4,5.44104402e-13,20.5259527635,32.9534362892
5,5,83.8402982754,-5.10623511525,889270.502432,0.694235317922,0.204464503439,0.37675785267,170.985252237,1.19973618699,11.1236226651,,0.485553581117,,,0.541951618192,,,0.476001835637,,1.05307776692,74.4443135725,0.0597922726818,,102.887230303,,,0.000115698462978,,543963.123577,,136.5429142,,,0.000251015019735,,False,False,True,5,1.92766939132e-11,18.8132163054,27.0334133747
6,6,83.8438876117,-5.11168536243,755972.158865,0.671040667875,0.170547542457,0.338296226398,174.263288093,1.0695076372,11.1318607465,,0.478665049291,,,0.535806254996,,,0.468969840456,,1.03377345482,74.3478278742,0.0473238069732,,90.3006425151,,,0.000119449693294,,478408.884642,,133.463863131,,,0.000278974466017,,False,False,True,6,2.143650603e-11,18.8193317823,26.9527551379
7,7,83.828034736,-5.19625482713,48079275.3344,1.04001638702,0.219392284874,0.477673080102,3.18567988273,1.78644529811,10.2935661567,,1.38996091745,,,1.41252635834,,,1.38635074208,,2.70611035197,75.0854439268,0.246982980615,,886.139338508,,,1.84307964782e-05,,19631794.8416,,927.558381894,,,4.72477625902e-05,,False,False,True,7,5.35828957075e-13,20.5306407972,33.4227003607
8,8,83.8789149783,-4.98588649156,3330.16594241,0.123419728437,0.0475272545632,0.0765885164471,139.216395562,0.0880290545676,11.7949034183,,0.406870873922,,,0.47401343006,,,0.395183362484,,1.93984178771,239.193661447,0.00455149024411,,16.000114068,,,0.00480459963397,,11458.389065,,104.455046332,,,0.00911603243173,,False,False,True,8,2.69951252138e-10,19.2013504678,25.0215471761
9,9,83.8764837911,-4.98312657548,1876.35301551,0.0860060947638,0.0433123133482,0.0610337851216,144.711836116,0.0603498157603,11.8270521585,,0.391446025511,,,0.460805919457,,,0.379290335491,,2.09691133923,237.052686819,0.00312450100165,,12.0499302107,,,0.00642199528076,,9264.61970799,,98.7152458811,,,0.0106550780272,,False,True,False,8,3.80136175437e-10,19.1907281521,24.338538697
