,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_RMS_refit,V_disp,V_disp_dendro,V_disp_refit,V_disp_nt,V_disp_nt_dendro,V_disp_nt_refit,V_grad_abs,V_grad_PA,j,M_vir,M_vir_dendro,M_vir_refit,virial,virial_dendro,virial_refit,m_lin,m_lin_vir,m_lin_vir_dendro,m_lin_vir_refit,virial_lin,virial_lin_dendro,virial_lin_refit,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,Tkin,Tdust
0,0,83.9232332126,-5.04302102604,20.4286178739,0.03710902452,0.0208248340266,0.0277990876922,164.135437508,0.0108901923176,11.9123351693,,0.360608091663,,,0.419257682798,,,0.350412517112,,1.73756923314,333.551993543,0.000537109948229,,4.5432928517,,,0.222398445149,,233.776968467,,81.7165818895,,,0.349549326546,,False,True,False,0,4.54085693199e-09,14.8490914523,24.4785252378
1,1,83.8287308972,-5.1963581614,44787372.3466,1.02284984721,0.215148464336,0.469110406912,3.19971630211,1.96159589122,10.3167038451,,1.36212364874,,,1.38514721561,,,1.35843875951,,2.65849831418,74.8047207934,0.234016519461,,836.845071745,,,1.86848441402e-05,,18594562.9338,,891.948952117,,,4.79682665999e-05,,False,False,True,1,5.97965711855e-13,20.5347357681,34.2293855097
2,2,83.8290958294,-5.19629232895,41992397.7731,1.01488602991,0.212990203671,0.464930943489,3.20941309518,1.88854085108,10.3254627585,,1.35065488998,,,1.37386922465,,,1.34693885842,,2.64945664098,74.7419350089,0.229083447982,,815.938396471,,,1.94306217254e-05,,17570967.49,,877.483428344,,,4.99393917179e-05,,False,False,True,2,6.30986897632e-13,20.5334502051,33.9203709701
3,3,83.8295785835,-5.19686681172,37361419.2747,1.0014503459,0.210184374442,0.458791035753,3.25778930857,1.73517064261,10.3339453423,,1.33221814482,,,1.35574155455,,,1.32845161772,,2.63280099582,74.632482082,0.221670485405,,784.055612056,,,2.0985702023e-05,,15842956.1733,,854.480091105,,,5.3934384578e-05,,False,False,True,3,6.73506741109e-13,20.5275944168,33.2480835669
4,4,83.8296405373,-5.19680088823,36729036.0667,0.999854525124,0.209770378244,0.457973647631,3.26156432535,1.71339025798,10.3359918686,,1.32991038145,,,1.35347203272,,,1.32613760198,,2.62945923375,74.6030876197,0.220600966649,,780.040568042,,,2.12377086789e-05,,15599654.8754,,851.621673077,,,5.45923406563e-05,,False,False,True,4,6.82969941834e-13,20.5259527635,32.9534362892
5,5,83.8414383741,-5.11169030944,712652.225923,0.687068466511,0.193430114158,0.364554154977,171.443081129,1.19973618699,11.1306166712,,0.452132813836,,,0.512223933131,,,0.441859195606,,1.04627601539,73.9864310564,0.0556199207801,,88.9323798204,,,0.000124790713598,,440473.621628,,121.974168455,,,0.000276915943353,,False,False,True,5,2.40540822828e-11,18.8132163054,27.0334133747
6,6,83.8444632606,-5.11682773727,597285.788928,0.664507845399,0.161339781702,0.327431749707,174.367522091,1.0695076372,11.1371274823,,0.445648057428,,,0.506527693783,,,0.435217960261,,1.03749274655,73.9672961748,0.0444924824856,,78.1097606792,,,0.000130774517203,,381701.92049,,119.276399966,,,0.000312485721353,,False,False,True,6,2.71317383444e-11,18.8193317823,26.9527551379
7,7,83.829517228,-5.19630294451,38530759.1378,1.00533409403,0.21040679323,0.459922953167,3.22585744752,1.78644529811,10.3366666776,,1.33608802043,,,1.35954792461,,,1.33233187546,,2.63277930111,74.6316547902,0.222763798488,,790.409689079,,,2.05137325806e-05,,16275690.7936,,859.284890694,,,5.27956018329e-05,,False,False,True,7,6.68615634259e-13,20.5306407972,33.4227003607
8,8,83.8785342103,-4.98500693126,1919.82720428,0.116804172603,0.0429043818512,0.0707913188405,139.068634958,0.0880290545676,11.813081626,,0.378454126771,,,0.449858144197,,,0.365859956825,,1.99484318266,239.471599959,0.00399879148646,,13.3201558583,,,0.00693820559925,,6979.84952524,,94.080433,,,0.0134788626402,,False,False,True,8,4.68262176918e-10,19.2013504678,25.0215471761
9,9,83.8761260129,-4.98231654408,928.535138222,0.0791583713025,0.0394157140516,0.0558577096563,145.713207042,0.0603498157603,11.8418785746,,0.361682751241,,,0.435805595493,,,0.348490430647,,2.14074472411,238.182123442,0.00267172111184,,9.86385903097,,,0.0106230325864,,4981.31228731,,88.2945173697,,,0.0177251519835,,False,True,False,8,7.68166577361e-10,19.1907281521,24.338538697
