,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_RMS_refit,V_disp,V_disp_dendro,V_disp_refit,V_disp_nt,V_disp_nt_dendro,V_disp_nt_refit,V_grad_abs,V_grad_PA,j,M_vir,M_vir_dendro,M_vir_refit,virial,virial_dendro,virial_refit,m_lin,m_lin_vir,m_lin_vir_dendro,m_lin_vir_refit,virial_lin,virial_lin_dendro,virial_lin_refit,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,Tkin,Tdust
0,0,83.9234546567,-5.04408487596,29.6793870516,0.0429970157742,0.0218306939902,0.030637472054,165.261371446,0.0116705722127,11.8972019462,,0.449024589708,0.397092976076,,0.497354894392,0.451022882415,,0.440878462321,0.387857664647,1.96687655124,337.398145608,0.000738487162824,,7.04634412129,5.79466333621,,0.237415419296,0.195242015145,293.129069404,,114.995520989,94.5682353623,,0.392303367329,0.322616366758,True,False,False,0,3.12551707765e-09,14.8490914523,24.4785252378
1,1,83.8273981207,-5.19661865112,56951538.3228,1.07026971808,0.227411164966,0.493347021291,3.15872219332,2.04093844302,10.2857082839,,1.42505936993,2.82096243292,,1.44708195423,2.83215130641,,1.42153763112,2.81918500223,2.71050463784,75.1379527732,0.263885281004,,960.543183495,3679.28595155,,1.68659743316e-05,6.46038028103e-05,22597193.1375,,973.496486288,3728.90257037,,4.3080416243e-05,0.000165016183544,True,False,False,1,4.70247402898e-13,20.5347357681,34.2293855097
2,2,83.8276766715,-5.19634626747,55258355.5481,1.07180273779,0.228055085286,0.494398690104,3.15303937688,1.99427434235,10.2890250742,,1.42621447668,3.14224103784,,1.44821812863,3.15228912927,,1.42269581779,3.14064553816,2.71210944652,75.1385315671,0.265168435077,,964.102922314,4567.80471679,,1.74471880814e-05,8.26626972788e-05,21894012.9374,,975.02576525,4619.55584453,,4.45338992005e-05,0.000210996305599,True,False,False,2,4.7950490984e-13,20.5334502051,33.9203709701
3,3,83.828084109,-5.197383489,55568849.6773,1.06001234344,0.227594170524,0.491174744924,3.2453380189,1.84444388965,10.2856347335,,1.4128993982,2.47352018578,,1.43510093262,2.48626870769,,1.40934851073,2.471493602,2.70894657482,75.071637085,0.261416194337,,940.543854731,2822.9961429,,1.69257391541e-05,5.08017740027e-05,22261927.2973,,957.443215934,2873.71874478,,4.30081009226e-05,0.000129086700644,True,False,False,3,4.52828660033e-13,20.5275944168,33.2480835669
4,4,83.8281220843,-5.19720187348,56835508.3654,1.06054083102,0.227340549842,0.491023355509,3.26098766871,1.82486252922,10.2862717478,,1.42066699726,3.24963421648,,1.4427472536,3.25934770492,,1.4171358558,3.24809203343,2.70868344679,75.0631331418,0.261229695786,,950.300134906,4849.99917499,,1.67201836007e-05,8.5333963124e-05,22758028.2027,,967.673048791,4938.66444495,,4.25200742425e-05,0.000217007572052,True,False,False,4,4.41358375206e-13,20.5259527635,32.9534362892
5,5,83.8402982754,-5.10623511525,1039752.94997,0.699411435304,0.213756783324,0.386657391797,170.985252237,1.26361207297,11.1236226651,,0.525755337798,1.29906118824,,0.578245580656,1.32117722018,,0.516946943716,1.29552129978,1.05307776692,74.4443135725,0.0629757095355,,120.206814995,627.518594916,,0.000115610939116,0.00060352663095,631305.69701,,155.44357556,811.46592336,,0.000246225523223,0.00128537715912,True,False,False,5,1.64867964855e-11,18.8132163054,27.0334133747
6,6,83.8438876117,-5.11168536243,882195.446762,0.674107378516,0.178473244802,0.34685750848,174.263288093,1.12432478305,11.1318607465,,0.517860144448,1.01974892662,,0.571093024548,1.04778623145,,0.508912184028,1.01523413811,1.03377345482,74.3478278742,0.0497493679876,,105.18236704,354.058156103,,0.000119227964083,0.000401337546462,555748.126285,,151.621868446,510.379835303,,0.000272824794677,0.000918365373025,True,False,False,6,1.8369400796e-11,18.8193317823,26.9527551379
7,7,83.828034736,-5.19625482713,58315234.6866,1.07062470364,0.226896725692,0.492870408627,3.18567988273,1.90192627288,10.2935661567,,1.41742497484,3.31299110107,,1.43955997453,3.32252154195,,1.41388492719,3.31147807841,2.70611035197,75.0854439268,0.262948672586,,949.66492723,5058.78804802,,1.62850228132e-05,8.67489957849e-05,23130607.7377,,963.402256058,5131.96568457,,4.1650537979e-05,0.000221869037889,True,False,False,7,4.4177594582e-13,20.5306407972,33.4227003607
8,8,83.8789149783,-4.98588649156,4918.27385544,0.132762613417,0.0562058310037,0.0863830597591,139.216395562,0.111983977625,11.7949034183,,0.45578331492,0.856436662595,,0.516607446704,0.89029690602,,0.445381198636,0.850946378437,1.93984178771,239.193661447,0.00579006538423,,21.4352244686,63.6614373404,,0.00435828201084,0.0129438577866,15731.8280263,,124.070764154,368.483343366,,0.00788660821531,0.0234227924911,True,False,False,8,1.82784141836e-10,19.2013504678,25.0215471761
9,9,83.8764837911,-4.98312657548,2847.58679198,0.104667795911,0.0521799306352,0.073902356731,144.711836116,0.0884813858568,11.8270521585,,0.441154953254,0.560988102658,,0.503715988726,0.61140801094,,0.43040546057,0.552574718053,2.09691133923,237.052686819,0.00458096143715,,17.4344354642,25.6861294096,,0.00612252996584,0.00902031484412,11553.3030938,,117.955882839,173.784237376,,0.0102097107539,0.0150419525884,True,False,False,8,2.50482148989e-10,19.1907281521,24.338538697
10,10,83.8260784535,-4.94306592131,628.082688955,0.111906254993,0.0429748684955,0.0693480828296,118.628436905,0.0751706692488,12.2022427312,,0.483314266378,0.971973684334,,0.557493948982,1.01091031556,,0.470484822762,0.965658392706,1.91307212817,304.564213798,0.00368010537457,,20.039777887,65.8927820509,,0.0319062732335,0.104910998519,2383.44282072,,144.486891846,475.087265302,,0.0606210858468,0.199328157224,True,False,False,10,7.95406957196e-10,25.0651734538,37.5487059512
11,11,83.911064628,-5.10102124576,804.449096191,0.0833387484979,0.040652512704,0.0582059235134,155.463743416,0.0496868638676,11.6408121484,,0.481442887564,-6.42765936555,,0.543746981163,6.43262609244,,0.47081182186,6.42687182361,5.35071814304,138.145194593,0.00725114240578,,16.0007017624,2239.34975139,,0.0198902601024,2.7837059697,4099.1505568,,137.449084188,19236.4420683,,0.0335311138937,4.69278739624,True,False,False,11,1.67005695394e-10,20.7365221508,26.4266005273
12,12,83.7309014857,-5.40220124589,-372.195441745,0.121781132413,0.0487723958668,0.077068525347,125.023301232,0.0527944594863,11.4021375762,,1.0146910192,2.46215304945,,1.04584646583,2.47515547079,,1.00966485489,2.4600859525,5.23665299694,234.573786354,0.0124413608409,,78.3774345463,438.99557661,,-0.21058139288,-1.17947596175,-1297.87634742,,508.491853149,2848.0860029,,-0.391787595298,-2.19442014532,True,False,False,12,-3.15161728621e-10,20.8415268854,33.7977282202
13,13,83.8077071674,-5.35192111481,14796154.3154,0.304927624458,0.125721321331,0.19579556649,8.97810264125,0.597192254828,8.86696319253,,1.29643655812,2.65226581173,,1.32671897982,2.66719879991,,1.29157183633,2.64989131763,5.08144436645,70.0938418647,0.0779207050748,,320.434203111,1295.06556626,,2.16565869942e-05,8.75271735251e-05,20606031.4194,,818.287688673,3307.1881797,,3.97110764328e-05,0.000160496124284,True,False,False,13,5.25384518353e-13,25.7887134999,47.6296260314
14,14,83.7251169594,-5.39911854839,241.541636018,0.04891218944,0.0448265749857,0.0468248430606,148.737094601,0.0243608307369,11.5177536261,,0.649264776968,2.04470152004,,0.697275182295,2.06044952263,,0.641325604478,2.04219442914,5.20695102094,222.886189785,0.00456663335818,,21.1671737554,184.83253422,,0.0876336440554,0.765220180117,2097.09051564,,226.025036838,1973.6588757,,0.107780296154,0.941141481965,True,False,False,12,3.45440468884e-10,20.9879320933,33.6309874787
15,15,83.8425638475,-5.11789954714,595052.264182,0.662559396602,0.159751594238,0.325338162355,172.255878184,0.940354338492,11.1056221376,,0.490858444044,0.839574263213,,0.546687158224,0.873389821516,,0.481415987433,0.834088894732,1.0737670045,74.3847546893,0.0454611130263,,90.4046736048,230.743454657,,0.000151927282773,0.000387770064154,381392.87049,,138.939546702,354.620947303,,0.000364295081141,0.000929804867218,True,False,False,15,2.45118904724e-11,18.8052820455,26.7919115431
