,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_disp,V_disp_nt,V_grad_abs,V_grad_PA,j,M_vir,virial,m_lin,m_lin_vir,virial_lin,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,Tkin,Tdust
0,0,52.2394260231,31.2643171498,468455.028943,0.232269857144,0.224093321546,0.228144962211,134.976779407,0.65877352726,7.84548398784,0.335885833113,0.533741610226,0.368382190111,0.330442139862,0.853205936249,19.5185982996,0.0177637898375,28.7863275629,6.14495005591e-05,856480.202441,63.0878001511,7.3659379366e-05,False,False,True,0,1.70927647802e-11,7.42998058926,15.243721175
1,1,52.2394484087,31.2643241054,430472.882295,0.230779347897,0.222795262365,0.226752167273,126.419808462,0.622264480924,7.84284546836,0.331279820006,0.527850375213,0.365334147044,0.325555591461,0.966818314094,13.9063593675,0.0198841830818,28.1390939017,6.53678664999e-05,792120.280037,62.0481255814,7.83316967702e-05,False,False,True,1,1.84845620412e-11,7.70157434641,15.1750222287
2,2,52.2641290721,31.2649288802,225919.871481,0.219984018613,0.14085528296,0.176028154533,167.229183371,0.411621600841,7.84754603023,0.351659743499,0.536065000796,0.389607057848,0.34526268686,0.864753900595,9.86494137688,0.0107180750255,24.8435638234,0.0001099662622,436119.571723,70.5670177856,0.000161806583242,False,False,True,2,2.95489663363e-11,9.13209933705,15.3211736578
3,3,52.264051003,31.2646595605,243850.253862,0.221363388019,0.142217941358,0.17743124115,167.607474954,0.434708203671,7.84800748193,0.353678801896,0.537241826583,0.390191829004,0.347539755801,0.877229193752,8.22389576536,0.0110467175208,25.1168146248,0.000103000977965,467799.43708,70.7790084259,0.000151302038471,False,False,True,3,2.75445870275e-11,8.81780080891,15.3781050466
4,4,52.2394875987,31.2643555109,391790.77699,0.229643171029,0.221591104586,0.2255812136,118.538149028,0.584144741368,7.83986159051,0.327625246213,0.523800242988,0.363422275071,0.321586067813,1.08142120338,10.8159023551,0.022012062102,27.701554649,7.07049687639e-05,724507.605772,61.4004025579,8.47477680961e-05,False,False,True,4,2.01586348538e-11,8.03100557495,15.1205154039
5,5,52.2644896376,31.2656635153,197526.534406,0.216903690393,0.138252394555,0.173168861475,165.531347,0.375112554506,7.84697215937,0.348219563131,0.534048343034,0.388483439398,0.341402363614,1.00038131916,13.8235527305,0.0119995557502,24.2992545362,0.000123017672584,386723.691751,70.160577165,0.000181423012506,False,False,True,5,3.34764461701e-11,9.62992832416,15.3035611949
6,6,52.2641649677,31.2648663779,229065.855532,0.220289778352,0.141174427458,0.176349888953,167.134711803,0.415916782763,7.84757278071,0.351896406668,0.536150397702,0.389462143357,0.345567811401,0.866839095041,7.60622579311,0.0107832298485,24.8704600193,0.000108573405502,441578.874563,70.5145326911,0.000159687287488,False,False,True,6,2.91443876424e-11,9.04139082749,15.3265627035
7,7,52.2394945062,31.2643525078,388048.812801,0.229557213564,0.221489299135,0.225487175564,117.875115183,0.580386457186,7.83961433471,0.327252640421,0.523503137056,0.363290846368,0.321169817249,1.09210309371,10.1870677596,0.0222109595968,27.6699825935,7.13054174648e-05,717856.58828,61.3560006779,8.54711117509e-05,False,False,True,7,2.03394811799e-11,8.07921616552,15.1191657608
8,8,52.2394592504,31.2643504602,402244.58328,0.230017454367,0.22197173833,0.225958788703,121.075452457,0.594703730259,7.84065388087,0.328475374367,0.52494245701,0.363695627655,0.322540337113,1.0783382249,10.6240527755,0.0220228473018,27.7896787621,6.90865207817e-05,742628.629134,61.492803448,8.28042456695e-05,False,False,True,8,1.96773776653e-11,7.91445306236,15.1341593727
9,9,52.2641223825,31.2648066935,232263.914174,0.22060761232,0.141477215921,0.176666212961,167.319277292,0.420032998772,7.84758257623,0.352159315951,0.536399346782,0.389607547398,0.34585198924,0.844094386687,6.50929566512,0.0105379953501,24.9336782437,0.000107350633146,447098.818698,70.5671951239,0.000157833553059,False,False,True,9,2.8770053297e-11,9.01807354193,15.3628357511
