,ID,RA,Dec,M,Axis_maj,Axis_min,R_eff,PA,Area,V_cen,V_RMS,V_RMS_dendro,V_disp,V_disp_nt,V_grad_abs,V_grad_PA,j,M_vir,virial,m_lin,m_lin_vir,virial_lin,id_unresolved,id_resolvedLeaves,id_resolvedBranches,id_SCIMES,abundance_pNH3,Tkin,Tdust
0,0,83.9234546567,-5.04408487596,26.9389514515,0.0426655773481,0.020529181224,0.0295954281842,165.261371446,0.0108901923176,11.8972019462,0.162832282513,0.516552838035,0.23279515101,0.148752810198,93.5997611012,2.23354252596,0.0327932142911,1.49125054775,0.0553566663659,268.129955889,25.193934321,0.0939616546665,False,True,False,0,3.44346851252e-09,8.98605429028,24.4785252378
1,1,83.8273981207,-5.19661865112,52982946.8348,1.05130430457,0.222513423255,0.483662402603,3.15872219332,1.96159589122,10.2857082839,0.398135308412,1.40235396523,0.468633310613,0.385780974146,3.32470398036,78.8030246869,0.311098296121,98.7612931456,1.86402038855e-06,21401782.3359,102.09734374,4.77050659323e-06,False,False,True,1,5.05470431285e-13,19.8378691553,34.2293855097
2,2,83.8276766715,-5.19634626747,50924282.3094,1.04647572538,0.221190742204,0.481114063809,3.15303937688,1.88854085108,10.2890250742,0.398161901963,1.39712855808,0.469331448652,0.385678243017,3.2644301723,78.3781780789,0.302248030191,98.5338592602,1.93490913945e-06,20665124.8952,102.401765685,4.95529382013e-06,False,False,True,2,5.20314702405e-13,20.0435842643,33.9203709701
3,3,83.828084109,-5.197383489,46697730.8779,1.03424137411,0.219445607559,0.476402903753,3.2453380189,1.73517064261,10.2856347335,0.397127377219,1.38607986135,0.467819653472,0.384732518403,2.97962260673,74.908476661,0.270501733002,96.9414372594,2.07593464258e-06,19174151.1466,101.743121731,5.30626471823e-06,False,False,True,3,5.38852044111e-13,19.8507312663,33.2480835669
4,4,83.8281220843,-5.19720187348,46102967.6178,1.03281545837,0.219183425349,0.475789901025,3.26098766871,1.71339025798,10.2862717478,0.396690461327,1.38559399107,0.467138610153,0.384341291753,2.88406093959,74.2652848734,0.261152906218,96.5350168498,2.093900281e-06,18956075.424,101.447105794,5.35169350852e-06,False,False,True,4,5.44104402e-13,19.7566102969,32.9534362892
5,5,83.8404465995,-5.10678562065,839793.052407,0.693707325479,0.203229657853,0.375475568322,171.016077783,1.15390662766,11.1240727901,0.338609836532,0.4784095892,0.413714953301,0.325117275746,1.43780867612,85.6126755337,0.0810820009825,59.7533486245,7.11524684007e-05,514088.954335,79.5702219608,0.000154779092781,False,False,True,5,1.99549600361e-11,18.3438263339,26.9098321612
6,6,83.9208611319,-5.33121849673,0.424038076335,0.011021213383,0.00643045830038,0.00841851846105,110.111782301,0.00136127403971,10.5737988911,0.12259578938,1.36602999448,0.12259578938,0.12259578938,76.7210794873,193.212384617,0.00217493375402,0.117642679009,0.277434234269,16.3387083558,6.98713672443,0.427643150993,True,False,False,6,4.34584655573e-22,0.0,43.7606475098
7,7,83.8439375117,-5.11179353611,741122.647466,0.671054410447,0.170262498992,0.338016864789,174.267918469,1.05498738077,11.1325801055,0.339576868402,0.477541349039,0.416951672982,0.325629983665,0.807645532734,80.3295140473,0.0369111456452,54.6371376489,7.37221266084e-05,469001.925463,80.8201355322,0.000172323675329,False,False,True,7,2.15272608092e-11,19.0037765109,26.9214106054
8,8,83.828034736,-5.19625482713,48079275.3344,1.04001638702,0.219392284874,0.477673080102,3.18567988273,1.78644529811,10.2935661567,0.397552643222,1.38996091745,0.468234210944,0.385161162363,3.04200448801,77.1835711849,0.27763957776,97.3722440044,2.02524358629e-06,19631794.8416,101.923520563,5.1917576251e-06,False,False,True,8,5.35828957075e-13,19.8669954796,33.4227003607
9,9,83.8789149783,-4.98588649156,3330.16594241,0.123419728437,0.0475272545632,0.0765885164471,139.216395562,0.0880290545676,11.7949034183,0.43612173007,0.406870873922,0.490820249865,0.426809342095,7.21148299292,259.707046733,0.0169204492324,17.1548423017,0.00515134758999,11458.389065,111.993567035,0.00977393649316,False,False,True,9,2.69951252138e-10,16.4605050823,25.0215471761
